0,20.19,n,n,n
5,20.21,n,n,n
10,20.23,n,n,n
15,20.23,n,n,n
20,20.26,n,n,n
25,20.32,n,n,n
30,20.37,n,n,n
35,20.37,n,n,n
40,20.41,n,n,n
45,20.41,n,n,n
50,20.42,n,n,n
55,20.44,n,n,n
60,20.44,n,n,n
65,20.47,n,n,n
70,20.47,n,n,n
75,20.47,n,n,n
80,20.47,n,n,n
85,20.47,n,n,n
90,20.44,n,n,n
95,20.43,n,n,n
100,20.41,n,n,n
105,20.36,n,n,n
110,20.33,n,n,n
115,20.31,n,n,n
120,20.28,n,n,n
125,20.26,n,n,n
130,20.24,n,n,n
135,20.22,n,n,n
140,20.22,n,n,n
145,20.21,n,n,n
150,20.24,n,n,n
155,20.23,n,n,n
160,20.22,n,n,n
165,20.19,n,n,n
170,20.18,n,n,n
175,20.16,n,n,n
180,20.16,n,n,n
185,20.13,n,n,n
190,20.12,n,n,n
195,20.11,n,n,n
200,20.1,n,n,n
205,20.08,n,n,n
210,20.07,n,n,n
215,20.06,n,n,n
220,20.05,n,n,n
225,20.02,n,n,n
230,19.99,n,n,n
235,19.97,n,n,n
240,19.94,n,n,n
245,19.9,n,n,n
250,19.83,n,n,n
255,19.78,n,n,n
260,19.72,n,n,n
265,19.67,n,n,n
270,19.61,n,n,n
275,19.55,n,n,n
280,19.47,n,n,n
285,19.47,n,n,n
290,19.33,n,n,n
295,19.27,n,n,n
300,19.22,n,n,n
305,19.16,n,n,n
310,19.16,n,n,n
315,19.09,n,n,n
320,19.04,n,n,n
325,19.04,n,n,n
330,18.97,n,n,n
335,18.91,n,n,n
340,18.91,n,n,n
345,18.85,n,n,n
350,18.79,n,n,n
355,18.79,n,n,n
360,18.72,n,n,n
365,18.72,n,n,n
370,18.66,n,n,n
375,18.66,n,n,n
380,18.59,n,n,n
385,18.59,n,n,n
390,18.53,n,n,n
395,18.53,n,n,n
400,18.46,n,n,n
405,18.46,n,n,n
410,18.4,n,n,n
415,18.4,n,n,n
420,18.4,n,n,n
425,18.33,n,n,n
430,18.33,n,n,n
435,18.28,n,n,n
440,18.28,n,n,n
445,18.22,n,n,n
