202401281110,{874: 1.0};202401281120,{9182: 1.0};202401281110,{5294: 1.0};202401281110,{348: 1.0}
202401281130,{874: 1.0};202401281120,{9182: 1.0};202401281110,{5294: 1.0};202401281110,{348: 1.0}
202401281150,{874: 1.0};202401281120,{9182: 1.0};202401281110,{5294: 1.0};202401281110,{348: 1.0}
202401281200,{874: 1.0};202401281120,{9182: 1.0};202401281110,{5294: 1.0};202401281110,{348: 1.0}
202401281220,{874: 1.0};202401281120,{9182: 1.0};202401281110,{5294: 1.0};202401281110,{348: 1.0}
202401281240,{874: 1.0};202401281120,{9182: 1.0};202401281110,{5294: 1.0};202401281110,{348: 1.0}
202401281250,{874: 1.0};202401281120,{9182: 1.0};202401281110,{5294: 1.0};202401281110,{348: 1.0}
202401281250,{874: 1.0};202401281300,{9201: 0.567, 9203: 0.433};202401281110,{5294: 1.0};202401281110,{348: 1.0}
202401281310,{874: 1.0};202401281310,{9202: 1.0};202401281110,{5294: 1.0};202401281310,{348: 1.0}
202401281310,{874: 1.0};202401281330,{9207: 1.0};202401281330,{5302: 1.0};202401281310,{348: 1.0}
202401281340,{874: 1.0};202401281330,{9207: 1.0};202401281330,{5302: 1.0};202401281340,{348: 1.0}
202401281350,{874: 1.0};202401281350,{9211: 0.6548, 9213: 0.3289, 9217: 0.0164};202401281330,{5302: 1.0};202401281340,{348: 1.0}
202401281350,{874: 1.0};202401281410,{9212: 0.1793, 9214: 0.8207};202401281330,{5302: 1.0};202401281340,{348: 1.0}
202401281420,{874: 1.0};202401281410,{9212: 0.1793, 9214: 0.8207};202401281330,{5302: 1.0};202401281420,{348: 1.0}
202401281430,{874: 1.0};202401281410,{9212: 0.1793, 9214: 0.8207};202401281330,{5302: 1.0};202401281420,{348: 1.0}
202401281430,{874: 1.0};202401281410,{9212: 0.1793, 9214: 0.8207};202401281330,{5302: 1.0};202401281440,{348: 1.0}
202401281430,{874: 1.0};202401281410,{9212: 0.1793, 9214: 0.8207};202401281330,{5302: 1.0};202401281500,{348: 1.0}
