{'1': 'state', '2': 'set temp', '3': {3: 0.0}, '4': '2023-11-06 22:50:01'}
{'1': 'state', '2': 'set temp', '3': {4: 0.0}, '4': '2023-11-06 22:50:01'}
{'1': 'state', '2': 'set temp', '3': {5: 0.0}, '4': '2023-11-06 22:50:01'}
{'1': 'state', '2': 'set temp', '3': {6: 0.0}, '4': '2023-11-06 22:50:01'}
{'1': 'state', '2': 'set temp', '3': {7: 0.0}, '4': '2023-11-06 22:50:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:50:02'}
{'1': 'state', '2': 'external temp', '3': 8.8, '4': '2023-11-06 22:50:02'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:50:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:51:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:51:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:52:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:52:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:53:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:53:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:54:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:54:31'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:55:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:55:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:56:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:56:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:57:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:57:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:58:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:58:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:59:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:59:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:00:00'}
{'1': 'state', '2': 'external temp', '3': 8.7, '4': '2023-11-06 23:00:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:00:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:01:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:01:31'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:02:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:02:35'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:03:05'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:03:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:04:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:04:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:05:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:05:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:06:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:06:31'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:07:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:07:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:08:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:08:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:09:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:09:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:10:01'}
