202403112350,{3346: 1.0};202403120010,{2718: 1.0};202403112330,{6727: 1.0};202403042350,{506: 1}
202403112350,{3346: 1.0};202403120030,{2718: 1.0};202403112330,{6727: 1.0};202403042350,{506: 1}
202403112350,{3346: 1.0};202403120050,{2718: 1.0};202403112330,{6727: 1.0};202403042350,{506: 1}
202403120100,{3346: 1.0};202403120100,{2718: 1.0};202403120100,{6727: 1.0};202403042350,{506: 1}
202403120100,{3346: 1.0};202403120100,{2718: 1.0};202403120120,{6727: 1.0};202403042350,{506: 1}
202403120100,{3346: 1.0};202403120130,{2718: 1.0};202403120120,{6727: 1.0};202403042350,{506: 1}
202403120220,{3346: 1.0};202403120220,{2718: 1.0};202403120120,{6727: 1.0};202403042350,{506: 1}
202403120220,{3346: 1.0};202403120220,{2718: 1.0};202403120230,{6727: 1.0};202403042350,{506: 1}
202403120220,{3346: 1.0};202403120220,{2718: 1.0};202403120250,{6727: 1.0};202403042350,{506: 1}
202403120220,{3346: 1.0};202403120220,{2718: 1.0};202403120300,{6727: 1.0};202403042350,{506: 1}
202403120220,{3346: 1.0};202403120310,{2718: 1.0};202403120310,{6727: 1.0};202403042350,{506: 1}
202403120220,{3346: 1.0};202403120330,{2718: 1.0};202403120330,{6727: 1.0};202403042350,{506: 1}
202403120220,{3346: 1.0};202403120330,{2718: 1.0};202403120410,{6727: 1.0};202403042350,{506: 1}
202403120420,{3346: 1.0};202403120420,{2718: 1.0};202403120410,{6727: 1.0};202403042350,{506: 1}
202403120440,{3346: 1.0};202403120440,{2718: 1.0};202403120410,{6727: 1.0};202403042350,{506: 1}
202403120440,{3346: 1.0};202403120450,{2718: 1.0};202403120450,{6727: 1.0};202403042350,{506: 1}
202403120440,{3346: 1.0};202403120450,{2718: 1.0};202403120500,{6727: 1.0};202403042350,{506: 1}
202403120440,{3346: 1.0};202403120450,{2718: 1.0};202403120530,{6727: 1.0};202403042350,{506: 1}
202403120540,{3346: 1.0};202403120540,{2718: 1.0};202403120540,{6727: 1.0};202403042350,{506: 1}
202403120540,{3346: 1.0};202403120600,{2718: 1.0};202403120540,{6727: 1.0};202403042350,{506: 1}
202403120540,{3346: 1.0};202403120650,{2718: 1.0};202403120540,{6727: 1.0};202403042350,{506: 1}
202403120540,{3346: 1.0};202403120650,{2718: 1.0};202403120710,{6727: 1.0};202403042350,{506: 1}
202403120730,{3346: 1.0};202403120650,{2718: 1.0};202403120710,{6727: 1.0};202403042350,{506: 1}
202403120730,{3346: 1.0};202403120650,{2718: 1.0};202403120750,{6727: 1.0};202403042350,{506: 1}
202403120810,{3346: 1.0};202403120810,{2718: 1.0};202403120750,{6727: 1.0};202403042350,{506: 1}
202403120840,{3346: 1.0};202403120810,{2718: 1.0};202403120840,{6727: 1.0};202403042350,{506: 1}
202403120840,{3346: 1.0};202403120810,{2718: 1.0};202403120850,{6727: 1.0};202403042350,{506: 1}
202403120840,{3346: 1.0};202403120910,{2718: 1.0};202403120850,{6727: 1.0};202403042350,{506: 1}
202403120840,{3346: 1.0};202403120920,{2718: 1.0};202403120850,{6727: 1.0};202403042350,{506: 1}
202403120950,{3346: 1.0};202403120950,{2718: 1.0};202403120950,{6727: 1.0};202403042350,{506: 1}
202403121000,{3346: 1.0};202403121000,{2718: 1.0};202403120950,{6727: 1.0};202403042350,{506: 1}
202403121000,{3346: 1.0};202403121020,{2718: 1.0};202403120950,{6727: 1.0};202403042350,{506: 1}
202403121030,{3346: 1.0};202403121020,{2718: 1.0};202403120950,{6727: 1.0};202403042350,{506: 1}
202403121110,{3346: 1.0};202403121020,{2718: 1.0};202403120950,{6727: 1.0};202403042350,{506: 1}
202403121450,{3376: 1.0};202403121450,{2764: 1.0};202403121140,{6734: 1};202403042350,{506: 1}
202403121450,{3376: 1.0};202403121500,{2765: 1};202403121510,{6746: 1.0};202403042350,{506: 1}
202403121450,{3376: 1.0};202403121520,{2770: 1.0};202403121520,{6746: 1.0};202403042350,{506: 1}
202403121450,{3376: 1.0};202403121540,{2772: 1.0};202403121520,{6746: 1.0};202403042350,{506: 1}
202403121550,{3383: 1.0};202403121550,{2775: 1.0};202403121520,{6746: 1.0};202403042350,{506: 1}
202403121630,{3386: 1.0};202403121630,{2783: 1.0};202403121610,{6751: 1};202403042350,{506: 1}
202403121700,{3393: 1.0};202403121700,{2785: 1.0};202403121610,{6751: 1};202403042350,{506: 1}
202403121700,{3393: 1.0};202403121710,{2785: 1.0};202403121610,{6751: 1};202403042350,{506: 1}
202403121750,{3399: 1};202403121810,{2785: 1.0};202403121610,{6751: 1};202403042350,{506: 1}
202403121750,{3399: 1};202403121830,{2785: 1.0};202403121610,{6751: 1};202403042350,{506: 1}
202403121840,{3399: 1};202403121930,{2785: 1.0};202403121610,{6751: 1};202403042350,{506: 1}
202403122100,{3416: 1};202403122110,{2785: 1.0};202403121610,{6751: 1};202403042350,{506: 1}
202403122140,{3419: 1.0};202403122110,{2785: 1.0};202403121610,{6751: 1};202403042350,{506: 1}
202403122250,{3419: 1.0};202403122110,{2785: 1.0};202403121610,{6751: 1};202403042350,{506: 1}
202403122320,{3419: 1};202403122330,{2785: 1.0};202403121610,{6751: 1};202403042350,{506: 1}
202403122320,{3419: 1};202403122340,{2785: 1.0};202403121610,{6751: 1};202403042350,{506: 1}
