2023.11.18 11:12:54,0072,3405,8040,0143
2023.11.18 11:13:01,8888,8888,8888,8888
2023.11.18 11:13:05,0072,6060,8040,0143
2023.11.18 11:13:09,1079,3405,1302,0143
2023.11.18 11:13:13,1079,3405,1302,0143
2023.11.18 11:30:00,8888,8888,8888,8888
2023.11.18 11:30:04,8888,8888,8888,8888
2023.11.18 11:30:08,0071,5777,170-1,-1742
2023.11.18 11:30:12,1019,3409,8040,0143
2023.11.18 11:30:16,1019,5332,-1066,6677
2023.11.18 11:30:20,0072,3409,1302,0143
2023.11.18 11:30:24,1072,3409,2040,0143
2023.11.18 11:30:28,1019,3410,-1066,6677
2023.11.18 11:30:37,1019,3410,8040,6677
2023.11.18 11:30:41,1075,5332,130-1,0062
2023.11.18 11:30:45,0072,3410,8040,0143
2023.11.18 11:30:49,1015,3410,-1066,6677
2023.11.18 11:30:53,0072,5332,130-1,0062
2023.11.18 11:30:57,1015,3410,2040,0143
2023.11.18 11:31:01,1075,5332,-1066,6677
2023.11.18 11:31:13,8888,8888,8888,8888
2023.11.18 11:31:17,7777,7777,777-1,7000
2023.11.18 11:31:21,1015,5332,2040,0143
2023.11.18 11:31:25,0072,5332,-1066,6677
2023.11.18 11:31:29,1019,5332,1302,0062
2023.11.18 11:31:33,0072,3410,2040,6677
2023.11.18 11:31:40,8888,8888,8888,8888
2023.11.18 11:31:49,8888,8888,8888,8888
2023.11.18 11:31:53,8888,8888,8888,8888
2023.11.18 11:31:58,1079,5777,170-1,0077
2023.11.18 11:32:02,1019,3410,1302,0143
2023.11.18 11:32:06,0072,5332,2040,6617
2023.11.18 11:32:09,1075,5332,1302,6677
2023.11.18 11:32:13,0072,3410,130-1,0143
2023.11.18 11:32:17,1019,5332,2040,0143
2023.11.18 11:32:27,0072,7410,2040,-1742
2023.11.18 11:32:30,1079,5332,2040,0062
2023.11.18 11:32:34,0072,5332,1303,0143
2023.11.18 11:32:38,1019,3410,1302,6677
2023.11.18 11:32:42,0072,5332,130-1,0062
2023.11.18 11:32:46,0072,3410,2040,0143
2023.11.18 11:32:50,1015,5332,2040,6677
2023.11.18 11:32:54,1019,5332,130-1,0062
2023.11.18 11:33:04,1079,5332,-1066,6677
2023.11.18 11:33:07,0072,3410,130-1,0062
2023.11.18 11:33:11,0040,5332,2040,0143
2023.11.18 11:33:15,0042,3410,-1066,6677
2023.11.18 11:33:19,1019,3410,1303,0062
2023.11.18 11:33:23,0072,5332,8040,0143
2023.11.18 11:33:27,0072,5332,-1066,6677
