202402061300,{1625: 1.0};202402061350,{340: 1.0};202402061340,{5939: 1};202402061320,{435: 1.0}
202402061450,{1628: 1.0};202402061450,{342: 0.3778, 344: 0.6222};202402061440,{5940: 1};202402061320,{435: 1.0}
202402061500,{1630: 1.0};202402061500,{348: 1.0};202402061440,{5940: 1};202402061320,{435: 1.0}
202402061510,{1631: 1.0};202402061500,{348: 1.0};202402061440,{5940: 1};202402061320,{435: 1.0}
202402061520,{1632: 1.0};202402061500,{348: 1.0};202402061510,{5944: 1};202402061320,{435: 1.0}
202402061530,{1633: 1.0};202402061530,{352: 0.5104, 353: 0.4896};202402061510,{5944: 1};202402061320,{435: 1.0}
202402061530,{1633: 1.0};202402061530,{352: 0.5104, 353: 0.4896};202402061510,{5944: 1};202402061540,{435: 1.0}
202402061600,{1635: 1.0};202402061600,{354: 1.0};202402061510,{5944: 1};202402061540,{435: 1.0}
202402061610,{1636: 1.0};202402061600,{354: 1.0};202402061510,{5944: 1};202402061540,{435: 1.0}
202402061620,{1637: 1.0};202402061620,{360: 1.0};202402061510,{5944: 1};202402061540,{435: 1.0}
202402061630,{1638: 1.0};202402061620,{360: 1.0};202402061620,{5952: 1};202402061540,{435: 1.0}
202402061630,{1638: 1.0};202402061640,{366: 1.0};202402061620,{5952: 1};202402061540,{435: 1.0}
202402061630,{1638: 1.0};202402061640,{366: 1.0};202402061620,{5952: 1};202402061650,{435: 1.0}
202402061720,{1642: 1.0};202402061640,{366: 1.0};202402061620,{5952: 1};202402061720,{435: 1.0}
202402061720,{1642: 1.0};202402061730,{369: 1.0};202402061620,{5952: 1};202402061720,{435: 1.0}
202402061740,{1645: 1.0};202402061730,{369: 1.0};202402061620,{5952: 1};202402061720,{435: 1.0}
202402061800,{1646: 1.0};202402061730,{369: 1.0};202402061620,{5952: 1};202402061720,{435: 1.0}
202402061800,{1646: 1.0};202402061810,{372: 0.3311, 374: 0.6689};202402061620,{5952: 1};202402061720,{435: 1.0}
202402061830,{1648: 1.0};202402061810,{372: 0.3311, 374: 0.6689};202402061830,{5960: 1.0};202402061830,{435: 1.0}
202402061830,{1648: 1.0};202402061840,{381: 0.6602, 383: 0.3398};202402061830,{5960: 1.0};202402061840,{435: 1.0}
202402061830,{1648: 1.0};202402061900,{385: 0.4814, 387: 0.5186};202402061830,{5960: 1.0};202402061900,{435: 1.0}
202402061850,{1651: 0.9757, 1653: 0.0243};202402061840,{381: 0.644, 383: 0.356};202402061830,{5960: 1.0};202402061840,{435: 1.0}
202402061850,{1651: 0.9757, 1653: 0.0243};202402061900,{385: 0.4525, 387: 0.5475};202402061830,{5960: 1.0};202402061900,{435: 1.0}
202402061850,{1651: 0.9757, 1653: 0.0243};202402061930,{385: 0.3372, 387: 0.6628};202402061830,{5960: 1.0};202402061900,{435: 1.0}
