202401231110,{338: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231110,{4821: 0.7826, 4823: 0.2174};202401231050,{348: 1.0}
202401231110,{338: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231110,{4821: 0.7826, 4823: 0.2174};202401231120,{348: 1.0}
202401231110,{338: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231130,{4822: 1.0};202401231120,{348: 1.0}
202401231110,{338: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231140,{4824: 1.0};202401231120,{348: 1.0}
202401231110,{338: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231150,{4825: 1.0};202401231120,{348: 1.0}
202401231110,{338: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231200,{4826: 1.0};202401231120,{348: 1.0}
202401231110,{338: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231210,{4828: 1.0};202401231120,{348: 1.0}
202401231220,{348: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231210,{4828: 1.0};202401231220,{348: 1.0}
202401231220,{348: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231210,{4828: 1.0};202401231230,{348: 1.0}
202401231220,{348: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231240,{4829: 1.0};202401231230,{348: 1.0}
202401231220,{348: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231240,{4829: 1.0};202401231250,{348: 1.0}
202401231220,{348: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231240,{4829: 1.0};202401231300,{348: 1.0}
202401231220,{348: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231240,{4829: 1.0};202401231310,{348: 1.0}
202401231220,{348: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231320,{4830: 1.0};202401231310,{348: 1.0}
202401231220,{348: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231330,{4833: 1.0};202401231310,{348: 1.0}
202401231340,{352: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231330,{4833: 1.0};202401231340,{348: 1.0}
202401231340,{352: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231350,{4835: 1.0};202401231350,{348: 1.0}
202401231340,{352: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231400,{4837: 1.0};202401231350,{348: 1.0}
202401231340,{352: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231410,{4839: 1.0};202401231410,{348: 1.0}
202401231420,{357: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231410,{4839: 1.0};202401231410,{348: 1.0}
202401231420,{357: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231410,{4839: 1.0};202401231430,{348: 1.0}
202401231420,{357: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231440,{4843: 1.0};202401231430,{348: 1.0}
202401231420,{357: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231450,{4846: 1.0};202401231430,{348: 1.0}
202401231420,{357: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231450,{4846: 1.0};202401231500,{348: 1.0}
202401231420,{357: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231510,{4850: 1.0};202401231500,{348: 1.0}
202401231420,{357: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231520,{4852: 1.0};202401231520,{348: 1.0}
